2016/01/04 Mon 11:23:50; ¸Á»eªã¥½½­µæ³ù+»æ°®; 192.168.17.33; Joseph
2016/01/04 Mon 11:24:58; ¯À­¹«K·í; 192.168.17.19; Kobe Nein
2016/01/04 Mon 11:25:40; ¯À­¹«K·í; 192.168.17.19; anonymous
2016/01/04 Mon 11:26:41; ¸Á»eªã¥½½­µæ³ù+»æ°®; 192.168.1.105; Mingshuan.Lee
2016/01/04 Mon 11:27:55; B.ÂC³½³J³ù+»æ°®; 192.168.17.19; Kobe Nein
2016/01/04 Mon 11:28:25; ¶p¬µ³½¶ô«K·í; 192.168.17.19; Öß¬°¥ô
2016/01/04 Mon 11:29:04; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.33; Joseph
2016/01/04 Mon 11:29:34; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.1.105; Mingshuan.Lee
2016/01/04 Mon 11:29:41; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.1.105; Mingshuan.Lee
2016/01/04 Mon 11:32:10; ¶p¬µ³½¶ô«K·í; 192.168.17.19; Kobe Nein
2016/01/04 Mon 12:33:52; º±Âû»L«K·í; 192.168.17.25; ¤B±Ò«°
2016/01/04 Mon 12:35:30; B.ÂC³½³J³ù+»æ°®; 192.168.17.26; Joshua
2016/01/04 Mon 12:39:57; º±Âû»L«K·í; 192.168.17.13; Danny
2016/01/04 Mon 13:34:55; Âû±Æ«K·í; 192.168.17.31; Aaron
2016/01/04 Mon 13:37:45; ÂC³½¨F©Ô(¸q¦¡ªo¾LÂæ); 192.168.17.35; Casey
2016/01/04 Mon 13:51:24; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.46; Lynn
2016/01/04 Mon 13:53:34; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.44; Mingshuan.Lee
2016/01/04 Mon 13:55:17; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.50; anonymous
2016/01/04 Mon 14:30:15; º±Âû»L«K·í; 192.168.17.28; MaxChen
2016/01/04 Mon 14:38:23; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.20; NeilShen
2016/01/04 Mon 14:46:52; ¶p¬µ³½¶ô«K·í; 192.168.17.22; CPHsu
2016/01/04 Mon 14:49:40; º±Âû»L«K·í; 192.168.17.29; Angus
2016/01/04 Mon 15:03:28; B.ÂC³½³J³ù+»æ°®; 192.168.17.26; Joshua
2016/01/04 Mon 15:06:12; º±Âû»L«K·í; 192.168.17.50; PikaChien
2016/01/04 Mon 15:25:26; º±Âû»L«K·í; 192.168.17.51; Pingcheng
2016/01/04 Mon 15:33:01; ±ö¤z¦©¦×«K·í; 192.168.17.15; Gin
2016/01/04 Mon 17:59:55; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.19; anonymous
2016/01/04 Mon 18:25:04; ¶p¬µ³½¶ô«K·í; 192.168.17.19; Kobe Nein
2016/01/04 Mon 18:25:28; º±Âû»L«K·í; 192.168.17.19; Kobe Nein
2016/01/04 Mon 18:25:49; Âû±Æ«K·í; 192.168.17.19; anonymous
2016/01/04 Mon 18:25:56; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.19; anonymous
2016/01/04 Mon 18:28:44; ¯À­¹«K·í; 192.168.17.46; anonymous
2016/01/04 Mon 18:28:48; B.ÂC³½³J³ù+»æ°®; 192.168.17.46; anonymous
2016/01/04 Mon 18:28:52; ¸Á»eªã¥½½­µæ³ù+»æ°®; 192.168.17.46; anonymous
2016/01/04 Mon 18:28:55; B.ÂC³½³J³ù+»æ°®; 192.168.17.46; anonymous
2016/01/04 Mon 18:30:10; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.46; anonymous
2016/01/04 Mon 19:11:57; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.19; anonymous
2016/01/04 Mon 19:12:03; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.19; anonymous
2016/01/04 Mon 19:12:43; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.19; anonymous
2016/01/04 Mon 19:12:47; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.19; anonymous
2016/01/05 Tue 10:02:04; 3¸¹À\:ªá¯À»]»å10Áû; 192.168.17.46; LynnChiang
2016/01/05 Tue 10:02:14; C.·Ó¿NÂû¦×«óÄÑ¥]+»æ°®; 192.168.17.19; KobeNein
2016/01/05 Tue 10:19:51; 5¸¹À\:½Þ¦×¿N»æ+½Þ¦×±²½µ»æ; 192.168.17.19; KobeNein
2016/01/05 Tue 10:21:03; 3¸¹À\:ªá¯À»]»å10Áû; 192.168.17.46; LynnChiang
2016/01/05 Tue 10:22:44; 3¸¹À\:ªá¯À»]»å10Áû; 192.168.17.46; LynnChiang
2016/01/05 Tue 10:47:02; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.19; KobeNein
2016/01/05 Tue 10:48:50; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.19; KobeNein
2016/01/05 Tue 10:49:54; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.19; KobeNein
2016/01/05 Tue 10:49:59; 5¸¹À\:½Þ¦×¿N»æ+½Þ¦×±²½µ»æ; 192.168.17.19; KobeNein
2016/01/05 Tue 10:50:04; 5¸¹À\:½Þ¦×¿N»æ+½Þ¦×±²½µ»æ; 192.168.17.19; KobeNein
2016/01/05 Tue 10:50:09; 5¸¹À\:½Þ¦×¿N»æ+½Þ¦×±²½µ»æ; 192.168.17.19; KobeNein
2016/01/05 Tue 10:52:47; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.19; KobeNein
2016/01/05 Tue 10:52:50; 5¸¹À\:½Þ¦×¿N»æ+½Þ¦×±²½µ»æ; 192.168.17.19; KobeNein
2016/01/05 Tue 10:53:12; 5¸¹À\:½Þ¦×¿N»æ+½Þ¦×±²½µ»æ; 192.168.17.19; KobeNein
2016/01/05 Tue 10:54:19; A.Âù¥÷°_¥q¤õÂûÃ¾¸z³ù+»æ°®; 192.168.17.19; KobeNein
2016/01/05 Tue 10:54:24; ¨ú®ø¤µ¤éÂIÀ\; 192.168.17.19; KobeNein
2016/01/05 Tue 10:54:42; ¯NÂû¨F©Ô(¸Á»eªã¥½Âæ); 192.168.17.19; KobeNein
2016/01/05 Tue 10:54:54; ¨ú®ø¤µ¤éÂIÀ\; 192.168.17.19; KobeNein
2016/01/05 Tue 10:55:10; 3¸¹À\:ªá¯À»]»å10Áû; 192.168.17.46; LynnChiang
